,H.3     EMPLOYMENT RATES¹ AND GROSS MONTHLY STARTING SALARY OF UNIVERSITY GRADUATES FROM NUS,,,,,,,,
," IN FULL-TIME PERMANENT EMPLOYMENT BY DEGREE, 2021",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Degree,Proportion of Graduates in the Labour Force who were,,Basic Monthly Salary4,,Gross Monthly Salary5,,,
,,Employed2,In Full-Time Permanent Employment3,Mean,Median,Mean,Median,25th Percentile,75th Percentile
,Faculty of Arts & Social Sciences,,,,,,,,
,Bachelor of Arts,91.4%,70.0%,"$3,405","$3,200","$3,600","$3,200","$2,850","$4,100"
,Bachelor of Arts (Hons),88.8%,68.3%,"$3,619","$3,500","$3,731","$3,650","$3,400","$3,983"
,Bachelor of Social Sciences,92.5%,78.2%,"$3,757","$3,531","$3,850","$3,600","$3,400","$4,100"
,Faculty of Dentistry,,,,,,,,
,Bachelor of Dental Surgery,100.0%,100.0%,"$4,256","$4,200","$4,286","$4,200","$4,200","$4,600"
,Faculty of Engineering,,,,,,,,
,Bachelor of Engineering (Biomedical Engineering),94.4%,83.3%,"$3,610","$3,500","$3,732","$3,600","$3,300","$4,000"
,Bachelor of Engineering (Chemical Engineering),91.4%,84.8%,"$3,793","$3,700","$4,023","$3,800","$3,600","$4,300"
,Bachelor of Engineering (Civil Engineering),97.3%,97.3%,"$3,780","$3,700","$3,897","$3,700","$3,500","$4,100"
,Bachelor of Engineering (Electrical Engineering),95.1%,93.0%,"$4,251","$4,000","$4,377","$4,150","$3,900","$4,550"
,Bachelor of Engineering (Engineering Science)*,89.5%,68.4%,"$4,189","$4,500","$4,399","$4,500","$4,000","$4,900"
,Bachelor of Engineering (Environmental Engineering),97.1%,88.6%,"$3,572","$3,500","$3,607","$3,500","$3,300","$3,900"
,Bachelor of Engineering (Industrial and Systems Engineering),96.7%,91.8%,"$4,237","$4,150","$4,417","$4,500","$4,000","$4,900"
,Bachelor of Engineering (Materials Science and Engineering),91.7%,87.5%,"$3,899","$3,775","$4,020","$3,896","$3,600","$4,200"
,Bachelor of Engineering (Mechanical Engineering),94.5%,89.5%,"$3,965","$3,800","$4,115","$3,875","$3,500","$4,550"
,Faculty of Law,,,,,,,,
,Bachelor of Laws6,96.5%,93.5%,"$5,398","$5,150","$5,627","$5,600","$4,500","$6,000"
,Faculty of Science,,,,,,,,
,Bachelor of Science,82.4%,56.9%,"$3,446","$3,300","$3,627","$3,527","$3,100","$4,000"
,Bachelor of Science (Hons),92.2%,76.5%,"$3,665","$3,500","$3,767","$3,600","$3,400","$4,000"
,Bachelor of Science (Computational Biology)*,100.0%,100.0%,"$4,655","$4,500","$4,677","$4,500","$4,000","$5,000"
,Bachelor of Science (Pharmacy)6,95.9%,91.9%,"$3,773","$3,760","$3,923","$3,915","$3,636","$4,200"
,Bachelor of Science (Data Science and Analytics),97.7%,95.3%,"$4,819","$4,500","$4,981","$4,800","$4,200","$5,400"
,NUS Business School,,,,,,,,
,Bachelor of Business Administration,94.7%,81.6%,"$5,199","$3,550","$5,567","$3,700","$3,125","$7,625"
,Bachelor of Business Administration (Hons),98.1%,93.5%,"$4,828","$4,200","$4,950","$4,347","$3,700","$5,200"
,Bachelor of Business Administration (Accountancy)*,100.0%,100.0%,"$3,380","$3,300","$3,515","$3,400","$3,013","$3,750"
,Bachelor of Business Administration (Accountancy) (Hons),97.0%,96.3%,"$4,124","$3,430","$4,194","$3,500","$3,200","$4,600"
,School of Computing,,,,,,,,
,Bachelor of Computing (Computer Science),99.1%,96.4%,"$5,898","$5,800","$6,002","$6,000","$5,000","$6,900"
,Bachelor of Computing (Information Security)*,100.0%,100.0%,"$4,992","$5,000","$5,095","$5,400","$4,305","$5,500"
,Bachelor of Computing (Information Systems),97.5%,96.2%,"$5,087","$5,000","$5,217","$5,000","$4,500","$5,400"
,Bachelor of Science (Business Analytics),100.0%,100.0%,"$5,437","$5,050","$5,603","$5,400","$4,800","$6,125"
,School of Design & Environment,,,,,,,,
,Bachelor of Arts (Architecture)6,97.7%,96.6%,"$4,090","$4,000","$4,139","$4,000","$3,600","$4,440"
,Bachelor of Arts (Industrial Design),87.5%,75.0%,"$4,146","$3,825","$4,178","$3,825","$3,200","$4,250"
,Bachelor of Science (Project and Facilities Management),93.1%,92.1%,"$3,424","$3,450","$3,560","$3,500","$3,200","$3,700"
,Bachelor of Science (Real Estate),94.5%,82.4%,"$3,692","$3,575","$3,863","$3,700","$3,400","$4,000"
,Yong Loo Lin School (Medicine),,,,,,,,
,Bachelor of Medicine and Bachelor of Surgery6**,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
,Bachelor of Science (Nursing),96.2%,93.3%,"$3,300","$3,350","$3,530","$3,550","$3,350","$3,750"
,Bachelor of Science (Nursing) (Hons),97.9%,96.8%,"$3,482","$3,500","$3,750","$3,750","$3,550","$3,950"
,YST Conservatory of Music,,,,,,,,
,Bachelor of Music*,82.4%,35.3%,"$3,136","$2,958","$3,203","$3,100","$2,915","$3,600"
,Yale-NUS College,,,,,,,,
,Bachelor of Arts with Honours,88.3%,70.8%,"$4,344","$4,000","$4,453","$4,000","$3,500","$5,000"
,Bachelor of Science with Honours,94.6%,83.8%,"$4,779","$4,500","$4,952","$4,500","$3,800","$5,650"
,Multi-Disciplinary Programmes,,,,,,,,
,Bachelor of Engineering (Computer Engineering),97.4%,91.2%,"$5,345","$5,000","$5,473","$5,400","$4,500","$6,200"
,Bachelor of Environmental Studies7,97.4%,81.6%,"$3,544","$3,500","$3,658","$3,650","$3,100","$3,996"
,,,,,,,,,"Source: Graduate Employment Survey jointly conducted by NUS, NTU, SMU, SUTD, SIT and SUSS"
,Notes : ,,,,,,,,
,"1) Employment rates refer to the number of graduates employed as a proportion of graduates in the labour force (i.e. those who were working, or not working but actively looking and available for work) as at 1 November 2021 (i.e. approximately six months after completing their final examinations).",,,,,,,,
,"2) Employment refers to graduates working on a full-time permanent, part-time, temporary or freelance basis.",,,,,,,,
,3) Full-time permanent employment refers to employment of at least 35 hours a week and where the employment is not temporary. It includes those on contracts of one year or more.,,,,,,,,
,"4) Basic monthly salary pertains only to full-time permanently employed graduates. It comprises basic pay before deduction of the employee’s CPF contributions and personal income tax. Employer’s CPF contributions, bonuses, stock options, overtime payments, commissions, fixed allowances, other regular cash payments, lump sum payments, and payments-in-kind are excluded.",,,,,,,,
,"5) Gross monthly salary pertains only to full-time permanently employed graduates. It comprises basic salary, overtime payments, commissions, fixed allowances and other regular cash payments, before deductions of the employee’s CPF contributions and personal income tax. Employer’s CPF contributions, bonuses, stock options, lump sum payments, and payments-in-kind are excluded.",,,,,,,,
,"6) Data on law, medicine and pharmacy graduates is obtained from a follow-up survey on 2020 graduates after they have completed their one-year practical law course/pupillage/housemanship/first-year residency/practical training. Data on architecture graduates is obtained from a follow-up survey on 2018 architecture graduates after they have completed their practical training.",,,,,,,,
,7) The Bachelor of Environmental Studies degree is a multidisciplinary programme that allows students to specialise in either Environmental Biology within the Faculty of Science or Environmental Geography within the Faculty of Arts and Social Sciences. ,,,,,,,,
,8) n.a. : not available / not applicable,,,,,,,,
,* - Data is based on a sample size of fewer than 30 respondents.,,,,,,,,
,** - No data is shown due to the small number of graduates and/or low response rates.,,,,,,,,
