Degree,Enrolment number
Bachelor of Laws,908
Bachelor of Social Sciences,2204
Bachelor of Business administration,3320
Bachelor of Computing in Computer Science,3228
Bachelor of Engineering (Chemical engineering),867
Bachelor of Engineering (Engineering science),143
Bachelor of Engineering (Environmental engineering),141
Bachelor of Engineering (Materials science & engineering),268
Bachelor of Engineering (Bioengineering),656
Bachelor of Engineering (Civil engineering),452
Bachelor of Engineering (Electrical engineering),768
Bachelor of Engineering (Industrial & systems engineering),305
Bachelor of Engineering (Mechanical engineering),1287
Total enrolment for 2021,14547
